Date,Duration,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE,Notes
2024-12-04 20:44:42,00 hours 00 minutes 18 seconds,,,,0,0,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,High to Low Cable Fly,0,16.5,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,High to Low Cable Fly,1,16.5,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,High to Low Cable Fly,2,16.5,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Push Ups,0,0,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Push Ups,1,0,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Push Ups,2,0,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Bench Press,0,44.1,25,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Bench Press,1,88.2,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Bench Press,2,88.2,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Bench Press,3,99.2,8,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Bench Press,4,99.2,9,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Incline Dumbbell Fly,0,17.6,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Incline Dumbbell Fly,1,17.6,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Incline Dumbbell Fly,2,17.6,12,0,0,,
2024-12-04 22:39:58,01 hours 02 minutes 03 seconds,,Abdominal set,0,0,0,0,300,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Treadmill,0,0,0,1.6,600,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Pull Ups,0,0,10,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Pull Ups,1,0,10,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Pull Ups,2,0,10,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Pull Ups,3,0,9,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Close Grip Lat Pulldown,0,72.8,12,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Close Grip Lat Pulldown,1,72.8,12,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Close Grip Lat Pulldown,2,72.8,12,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Close Grip Lat Pulldown,3,72.8,13,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Seated Cable Row,0,44.1,12,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Seated Cable Row,1,44.1,12,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Seated Cable Row,2,44.1,12,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Seated Cable Row,3,44.1,12,0,0,,
2024-12-09 21:38:14,00 hours 57 minutes 44 seconds,,Abdominal set,0,0,0,0,300,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Rowing Machine,0,0,0,1.25,300,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Pull Ups,0,0,10,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Pull Ups,1,0,10,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Pull Ups,2,0,10,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Pull Ups,3,0,10,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Lat Pulldown,0,72.8,12,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Lat Pulldown,1,88.2,12,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Lat Pulldown,2,103.6,12,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Lat Pulldown,3,103.6,12,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Dumbbell Row,0,35.3,12,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Dumbbell Row,1,35.3,12,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Dumbbell Row,2,35.3,12,0,0,,
2024-12-16 23:12:57,01 hours 00 minutes 00 seconds,,Abdominal set,0,0,0,0,300,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Rowing Machine,0,0,0,1.25,300,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Lat Pulldown,0,77.2,15,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Lat Pulldown,1,94.8,15,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Lat Pulldown,2,110.2,12,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Lat Pulldown,3,110.2,12,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Dumbbell Shrug,0,39.7,25,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Dumbbell Shrug,1,39.7,25,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Dumbbell Shrug,2,39.7,25,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Dumbbell Shrug,3,39.7,25,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Abdominal set,0,0,0,0,300,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Pull Ups,0,0,12,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Pull Ups,1,0,10,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Pull Ups,2,0,10,0,0,,
2025-01-28 22:55:59,01 hours 23 minutes 05 seconds,,Pull Ups,3,0,10,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Rowing Machine,0,0,0,1.25,300,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Pull Ups,0,0,10,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Pull Ups,1,0,10,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Pull Ups,2,0,9,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Pull Ups,3,0,7,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Lat Pulldown,0,72.8,12,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Lat Pulldown,1,88.2,15,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Lat Pulldown,2,103.6,12,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Lat Pulldown,3,103.6,12,0,0,,
2025-01-02 22:00:24,00 hours 49 minutes 16 seconds,,Iso-Lateral Row,0,44.1,12,0,0,,
