Date,Duration,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE,Notes
2026-03-23 18:36:34,00 hours 59 minutes 06 seconds,,Barbell Row,0,144.402781731,8,0,0,,
2026-02-18 07:44:41,01 hours 09 minutes 36 seconds,,Romanian Deadlift,0,198.416035967,10,0,0,,
2026-07-20 18:08:14,01 hours 09 minutes 47 seconds,,Dumbbell Lateral Raise,1,22.046226218,15,0,0,,
2026-08-26 07:17:08,01 hours 19 minutes 02 seconds,,Deadlift,0,198.416035967,5,0,0,,
2026-05-04 18:12:22,01 hours 14 minutes 28 seconds,,Bench Press,2,151.016649597,8,0,0,,
2026-06-19 19:30:35,00 hours 43 minutes 03 seconds,,Plank,0,0,0,0,83,,
2026-01-07 07:37:58,01 hours 01 minutes 32 seconds,,Dead Hang,0,0,0,0,40,,
2026-06-01 18:46:06,01 hours 15 minutes 33 seconds,,Bench Press,0,80.468725698,12,0,0,,
2026-06-05 19:12:01,00 hours 46 minutes 16 seconds,,Lat Pulldown,1,144.402781731,10,0,0,,
2026-02-25 07:08:25,01 hours 07 minutes 25 seconds,,Squat,3,213.848394319,5,0,0,,
2026-03-20 19:13:10,00 hours 54 minutes 07 seconds,,Dumbbell Lateral Raise,2,22.046226218,15,0,0,,
2026-05-11 18:39:53,01 hours 14 minutes 00 seconds,,Dumbbell Lateral Raise,1,22.046226218,15,0,0,,
2026-05-11 18:39:53,01 hours 14 minutes 00 seconds,,Bench Press,2,152.118960908,8,0,0,,
2026-02-09 18:48:36,01 hours 12 minutes 50 seconds,,Overhead Press,0,104.719574538,6,0,0,,
2026-07-22 07:06:56,01 hours 12 minutes 31 seconds,,Squat,1,208.116375503,5,0,0,,
2026-08-31 18:28:43,01 hours 11 minutes 11 seconds,,Dumbbell Lateral Raise,1,22.046226218,15,0,0,,
2026-06-29 18:32:51,01 hours 12 minutes 30 seconds,,Bench Press,1,124.010022479,6,0,0,,
2026-08-28 19:33:07,00 hours 47 minutes 10 seconds,,Plank,0,0,0,0,93,,
2026-04-01 07:29:30,01 hours 15 minutes 19 seconds,,Squat,1,179.897205943,5,0,0,,
2026-07-08 07:15:04,01 hours 13 minutes 13 seconds,,Deadlift,1,330.693393277,5,0,0,,
2026-07-10 19:42:50,00 hours 49 minutes 07 seconds,,Lat Pulldown,2,149.914338286,10,0,0,,
2026-07-03 19:16:53,00 hours 46 minutes 28 seconds,,Running,0,0,0,6.25,2025,,
2026-02-11 07:20:44,01 hours 10 minutes 22 seconds,,Deadlift,1,308.647167059,5,0,0,,
2026-05-25 18:37:51,01 hours 09 minutes 41 seconds,,Overhead Press,1,116.844998958,5,0,0,,
2026-03-23 18:36:34,00 hours 59 minutes 06 seconds,,Barbell Row,2,144.402781731,8,0,0,,
2026-03-23 18:36:34,00 hours 59 minutes 06 seconds,,Dumbbell Lateral Raise,1,22.046226218,15,0,0,,
2026-03-25 07:23:01,01 hours 19 minutes 04 seconds,,Romanian Deadlift,0,198.416035967,10,0,0,,
2026-07-03 19:16:53,00 hours 46 minutes 28 seconds,,Dumbbell Lateral Raise,2,26.455471462,15,0,0,,
2026-04-03 19:05:06,00 hours 44 minutes 47 seconds,,Dumbbell Lateral Raise,1,22.046226218,15,0,0,,
2026-05-08 19:14:14,00 hours 43 minutes 30 seconds,,Dumbbell Lateral Raise,2,22.046226218,15,0,0,,
2026-04-27 18:39:51,01 hours 01 minutes 15 seconds,,Overhead Press,2,116.844998958,5,0,0,,
2026-07-29 07:46:01,01 hours 11 minutes 21 seconds,,Squat,0,131.175046000,8,0,0,,
2026-01-23 19:36:23,00 hours 46 minutes 06 seconds,,Dumbbell Lateral Raise,2,22.046226218,15,0,0,,
2026-01-07 07:37:58,01 hours 01 minutes 32 seconds,,Romanian Deadlift,1,198.416035967,10,0,0,,
2026-06-17 07:49:11,01 hours 04 minutes 09 seconds,,Pull Up,1,0,11,0,0,,
2026-07-29 07:46:01,01 hours 11 minutes 21 seconds,,Squat,3,262.350092000,5,0,0,,
2026-08-03 18:32:07,00 hours 57 minutes 58 seconds,,Overhead Press,0,99.208017983,6,0,0,,
2026-05-01 19:31:46,00 hours 51 minutes 01 seconds,,Plank,0,0,0,0,76,,
2026-05-27 07:09:52,01 hours 19 minutes 38 seconds,,Deadlift,1,330.693393277,5,0,0,,
2026-08-12 07:36:44,01 hours 15 minutes 20 seconds,,Dead Hang,0,0,0,0,85,,
2026-01-21 07:35:06,01 hours 05 minutes 37 seconds,,Squat,0,101.412640605,8,0,0,,
2026-03-23 18:36:34,00 hours 59 minutes 06 seconds,,Dumbbell Lateral Raise,0,22.046226218,15,0,0,,
2026-02-27 19:31:10,00 hours 42 minutes 28 seconds,,Running,0,0,0,5.35,1848,,
2026-03-13 19:23:08,00 hours 50 minutes 44 seconds,,Lat Pulldown,0,131.175046000,10,0,0,,
2026-01-14 07:03:37,01 hours 18 minutes 25 seconds,,Pull Up,0,0,6,0,0,,
2026-06-22 18:15:17,01 hours 01 minutes 02 seconds,,Bench Press,2,164.244385328,8,0,0,,
2026-04-01 07:29:30,01 hours 15 minutes 19 seconds,,Pull Up,1,0,9,0,0,,
2026-08-24 18:35:59,01 hours 08 minutes 58 seconds,,Bench Press,1,128.143689895,6,0,0,,
2026-06-29 18:32:51,01 hours 12 minutes 30 seconds,,Overhead Press,1,99.208017983,6,0,0,,
2026-01-23 19:36:23,00 hours 46 minutes 06 seconds,,Dumbbell Lateral Raise,0,22.046226218,15,0,0,,
2026-07-10 19:42:50,00 hours 49 minutes 07 seconds,,Plank,0,0,0,0,86,,
2026-05-20 07:46:29,01 hours 12 minutes 25 seconds,,Pull Up,2,0,10,0,0,,
2026-02-27 19:31:10,00 hours 42 minutes 28 seconds,,Dumbbell Lateral Raise,1,22.046226218,15,0,0,,
2026-08-19 07:16:38,01 hours 02 minutes 54 seconds,,Pull Up,1,0,11,0,0,,
2026-02-11 07:20:44,01 hours 10 minutes 22 seconds,,Romanian Deadlift,2,198.416035967,10,0,0,,
2026-02-20 19:43:18,00 hours 54 minutes 45 seconds,,Dumbbell Lateral Raise,2,22.046226218,15,0,0,,
2026-05-18 18:50:21,01 hours 15 minutes 05 seconds,,Dumbbell Lateral Raise,0,22.046226218,15,0,0,,
